# NAME: HR-Blue_grating.txt
# DATE: 03/01/2024 15:06:16AEDT
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# AUTHOR: Eric Muller
# GRATING: Blue R=12000
# 
# Wavelength[um],emissivity
0.370,1.000e+00
0.380,1.000e+00
0.390,1.000e+00
0.400,1.000e+00
0.410,1.000e+00
0.420,1.000e+00
0.430,5.212e-01
0.440,4.685e-01
0.450,4.259e-01
0.460,3.891e-01
0.470,3.614e-01
0.480,3.458e-01
0.490,3.399e-01
0.500,3.466e-01
0.510,3.645e-01
0.520,3.889e-01
0.530,4.249e-01
0.540,4.697e-01
0.550,5.144e-01
0.560,1.000e+00
0.570,1.000e+00
0.580,1.000e+00
0.590,1.000e+00
0.600,1.000e+00
0.610,1.000e+00
0.620,1.000e+00
0.630,1.000e+00
0.640,1.000e+00
0.650,1.000e+00
0.660,1.000e+00
0.670,1.000e+00
0.680,1.000e+00
0.690,1.000e+00
0.700,1.000e+00
0.710,1.000e+00
0.720,1.000e+00
0.730,1.000e+00
0.740,1.000e+00
0.750,1.000e+00
0.760,1.000e+00
0.770,1.000e+00
0.780,1.000e+00
0.790,1.000e+00
0.800,1.000e+00
0.810,1.000e+00
0.820,1.000e+00
0.830,1.000e+00
0.840,1.000e+00
0.850,1.000e+00
0.860,1.000e+00
0.870,1.000e+00
0.880,1.000e+00
0.890,1.000e+00
0.900,1.000e+00
0.910,1.000e+00
0.920,1.000e+00
0.930,1.000e+00
0.940,1.000e+00
0.950,1.000e+00
0.960,1.000e+00
0.970,1.000e+00
0.980,1.000e+00
0.990,1.000e+00
1.000,1.000e+00
