# NAME: LR-Blue_grating.txt
# DATE: 03/01/2024 15:06:16AEDT
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# AUTHOR: Eric Muller
# GRATING: Blue R=4000
# 
# Wavelength[um],emissivity
0.370,7.318e-01
0.380,6.702e-01
0.390,6.142e-01
0.400,5.671e-01
0.410,5.271e-01
0.420,4.943e-01
0.430,4.676e-01
0.440,4.459e-01
0.450,4.279e-01
0.460,4.107e-01
0.470,3.953e-01
0.480,3.822e-01
0.490,3.709e-01
0.500,3.612e-01
0.510,3.535e-01
0.520,3.472e-01
0.530,3.426e-01
0.540,3.399e-01
0.550,3.357e-01
0.560,3.398e-01
0.570,3.461e-01
0.580,3.543e-01
0.590,3.642e-01
0.600,3.774e-01
0.610,3.881e-01
0.620,4.002e-01
0.630,4.137e-01
0.640,4.286e-01
0.650,4.480e-01
0.660,4.668e-01
0.670,4.865e-01
0.680,5.068e-01
0.690,5.275e-01
0.700,5.455e-01
0.710,5.658e-01
0.720,5.858e-01
0.730,6.056e-01
0.740,1.000e+00
0.750,1.000e+00
0.760,1.000e+00
0.770,1.000e+00
0.780,1.000e+00
0.790,1.000e+00
0.800,1.000e+00
0.810,1.000e+00
0.820,1.000e+00
0.830,1.000e+00
0.840,1.000e+00
0.850,1.000e+00
0.860,1.000e+00
0.870,1.000e+00
0.880,1.000e+00
0.890,1.000e+00
0.900,1.000e+00
0.910,1.000e+00
0.920,1.000e+00
0.930,1.000e+00
0.940,1.000e+00
0.950,1.000e+00
0.960,1.000e+00
0.970,1.000e+00
0.980,1.000e+00
0.990,1.000e+00
1.000,1.000e+00
