# NAME: LR-Red_grating.txt
# DATE: 03/01/2024 15:06:16AEDT
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# AUTHOR: Eric Muller
# GRATING: Red R=4000
# 
# Wavelength[um],emissivity
0.370,1.000e+00
0.380,1.000e+00
0.390,1.000e+00
0.400,1.000e+00
0.410,1.000e+00
0.420,1.000e+00
0.430,1.000e+00
0.440,1.000e+00
0.450,1.000e+00
0.460,1.000e+00
0.470,1.000e+00
0.480,1.000e+00
0.490,1.000e+00
0.500,1.000e+00
0.510,5.937e-01
0.520,5.633e-01
0.530,5.333e-01
0.540,5.044e-01
0.550,4.738e-01
0.560,4.496e-01
0.570,4.274e-01
0.580,4.074e-01
0.590,3.894e-01
0.600,3.752e-01
0.610,3.591e-01
0.620,3.447e-01
0.630,3.322e-01
0.640,3.220e-01
0.650,3.179e-01
0.660,3.141e-01
0.670,3.125e-01
0.680,3.129e-01
0.690,3.149e-01
0.700,3.141e-01
0.710,3.177e-01
0.720,3.221e-01
0.730,3.273e-01
0.740,3.333e-01
0.750,3.397e-01
0.760,3.468e-01
0.770,3.543e-01
0.780,3.623e-01
0.790,3.708e-01
0.800,3.796e-01
0.810,3.898e-01
0.820,4.003e-01
0.830,4.111e-01
0.840,4.222e-01
0.850,4.338e-01
0.860,4.436e-01
0.870,4.539e-01
0.880,4.651e-01
0.890,4.775e-01
0.900,4.918e-01
0.910,5.072e-01
0.920,5.247e-01
0.930,5.449e-01
0.940,5.679e-01
0.950,5.940e-01
0.960,6.265e-01
0.970,6.614e-01
0.980,6.981e-01
0.990,7.360e-01
1.000,7.746e-01
