# NAME: HR-Red_grating.txt
# DATE: 03/01/2024 15:06:16AEDT
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# AUTHOR: Eric Muller
# GRATING: Red R=9000
# 
# Wavelength[um],emissivity
0.370,1.000e+00
0.380,1.000e+00
0.390,1.000e+00
0.400,1.000e+00
0.410,1.000e+00
0.420,1.000e+00
0.430,1.000e+00
0.440,1.000e+00
0.450,1.000e+00
0.460,1.000e+00
0.470,1.000e+00
0.480,1.000e+00
0.490,1.000e+00
0.500,1.000e+00
0.510,1.000e+00
0.520,1.000e+00
0.530,1.000e+00
0.540,1.000e+00
0.550,1.000e+00
0.560,1.000e+00
0.570,1.000e+00
0.580,1.000e+00
0.590,1.000e+00
0.600,1.000e+00
0.610,1.000e+00
0.620,1.000e+00
0.630,1.000e+00
0.640,3.986e-01
0.650,3.768e-01
0.660,3.567e-01
0.670,3.397e-01
0.680,3.265e-01
0.690,3.169e-01
0.700,3.060e-01
0.710,3.008e-01
0.720,2.980e-01
0.730,2.972e-01
0.740,2.978e-01
0.750,2.991e-01
0.760,3.019e-01
0.770,3.065e-01
0.780,3.135e-01
0.790,3.223e-01
0.800,3.322e-01
0.810,3.457e-01
0.820,3.613e-01
0.830,3.773e-01
0.840,3.940e-01
0.850,4.118e-01
0.860,4.276e-01
0.870,4.461e-01
0.880,4.669e-01
0.890,1.000e+00
0.900,1.000e+00
0.910,1.000e+00
0.920,1.000e+00
0.930,1.000e+00
0.940,1.000e+00
0.950,1.000e+00
0.960,1.000e+00
0.970,1.000e+00
0.980,1.000e+00
0.990,1.000e+00
1.000,1.000e+00
